Rename Class	Translation	Positive	Negative	EmotionRationale
6001 commit 0e8a1d77cfec5f873f3ecc73882309c9a7de96ef legacy property resolver refactoring, add support for legacy variable resolver 	6001 commit 0e8a1d77cfec5f873f3ecc73882309c9a7de96ef legacy property resolver refactoring, add support for legacy variable resolver	2	-1	 6001[0] commit[0] 0e8a1d77cfec5f873f3ecc73882309c9a7de96ef[0] legacy[0] property[0] resolver[1] refactoring[0] add[0] support[0] for[0] legacy[0] variable[0] resolver[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6017 commit 53d8d784ac21286030b3ac03cb5408f9f3806aa7 hmpp refactor and im basics 	6017 commit 53d8d784ac21286030b3ac03cb5408f9f3806a7 hmp refactor and im basics	1	-1	 6017[0] commit[0] 53d8d784ac21286030b3ac03cb5408f9f3806aa7/53d8d784ac21286030b3ac03cb5408f9f3806a7[0] hmpp/hmp[0] refactor[0] and[0] im[0] basics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6105 commit 5099043c047daaa2a6187cd2014330d24fbc8b90 amber partial-refactor 	6105 commit 5099043c047da2a6187cd2014330d24fbc8b90 amber partial-refactor	2	-1	 6105[0] commit[0] 5099043c047daaa2a6187cd2014330d24fbc8b90/5099043c047da2a6187cd2014330d24fbc8b90[0][+0.6 MultipleLetters] amber[0] partial[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
6225 commit 79a383bb0ebd8deb2ef4abacdf50e5f09fc32a87 resin watchdog partial refactor 	6225 commit 79a383bb0ebd8deb2ef4abacdf50e5f09fc32a87 resin watchdog partial refactor	1	-1	 6225[0] commit[0] 79a383bb0ebd8deb2ef4abacdf50e5f09fc32a87[0] resin[0] watchdog[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6376 commit 5d997ff9ee951e2a963c9605b0c2675a17ce082e ejb stateless remote refactor 	6376 commit 5d997ff9ee951e2a963c9605b0c2675a17ce082e ejb stateless remote refactor	1	-1	 6376[0] commit[0] 5d997ff9ee951e2a963c9605b0c2675a17ce082e[0] ejb[0] stateless[0] remote[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6381 commit 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51 ejb refactor midpoint checkin 	6381 commit 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51 ejb refactor midpoint checkin	1	-1	 6381[0] commit[0] 2c54b53ce504a0125b65e0f1afb1f2fc6764bf51[0] ejb[0] refactor[0] midpoint[0] checkin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6421 commit a4b2102375931e8c90e516a42052c0620b8ec3a8 config/webbeans refactor 	6421 commit a4b2102375931e8c90e516a42052c0620b8ec3a8 config/webbeans refactor	1	-1	 6421[0] commit[0] a4b2102375931e8c90e516a42052c0620b8ec3a8[0] config/webbeans[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6423 commit 9ec10aea684885e42eb8601232eac84d681c566a partial refactor checkin (will not build) 	6423 commit 9ec10aea684885e42eb8601232eac84d681c566a partial refactor checkin (will not build)	1	-1	 6423[0] commit[0] 9ec10aea684885e42eb8601232eac84d681c566a[0] partial[0] refactor[0] checkin[0] will[0] not[0] build[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6424 commit 11e88f6b619feed9cc75af463057cf01ff24be45 partial config refactor 	6424 commit 11e88f6b619feed9cc75af463057cf01ff24be45 partial config refactor	1	-1	 6424[0] commit[0] 11e88f6b619feed9cc75af463057cf01ff24be45[0] partial[0] config[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6622 commit 568fc3de565f03e42efacad8cfcd378968c62009 injection refactor 	6622 commit 568fc3de565f03e42efacad8cfcd378968c62009 injection refactor	1	-1	 6622[0] commit[0] 568fc3de565f03e42efacad8cfcd378968c62009[0] injection[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6963 commit 265f4fdbf7f578d7d19a65fd257b84d5a88b527c quercus i18n refactor 	6963 commit 265f4fdbf7f578d7d19a65fd257b84d5a88b527c quercus i18n refactor	1	-1	 6963[0] commit[0] 265f4fdbf7f578d7d19a65fd257b84d5a88b527c[0] quercus[0] i18n[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8008 commit aecc41bdf017a73c730b1c9b8dc5418048526d58 soap refactor/cleanup (primitives qa) 	8008 commit aecc41bdf017a73c730b1c9b8dc5418048526d58 soap refactor/cleanup (primitives qa)	1	-1	 8008[0] commit[0] aecc41bdf017a73c730b1c9b8dc5418048526d58[0] soap[0] refactor/cleanup[0] primitives[0] qa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8118 commit 701dfb8c16cc41652ca2f0a8db6136265e5fefcc quercus generate refactor 	8118 commit 701dfb8c16cc41652ca2f0a8db6136265e5fefc quercus generate refactor	1	-1	 8118[0] commit[0] 701dfb8c16cc41652ca2f0a8db6136265e5fefcc/701dfb8c16cc41652ca2f0a8db6136265e5fefc[0] quercus[0] generate[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8407 commit bd10cad5914a0bdf7e29b307de149e6b2914f76c resin boot refactor 	8407 commit bd10cad5914a0bdf7e29b307de149e6b2914f76c resin boot refactor	1	-1	 8407[0] commit[0] bd10cad5914a0bdf7e29b307de149e6b2914f76c[0] resin[0] boot[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8587 commit b50315879c647cb0721a7bb7608b8137eb5e9c51 partial server/cluster refactor 	8587 commit b50315879c647cb0721a7bb7608b8137eb5e9c51 partial server/cluster refactor	1	-1	 8587[0] commit[0] b50315879c647cb0721a7bb7608b8137eb5e9c51[0] partial[0] server/cluster[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8785 commit af3b679df162d15e2a0a108eddd8dadfd7810238 resin/php session - refactor and fixes 	8785 commit af3b679df162d15e2a0a108edd8dadfd7810238 resin/php session - refactor and fixes	1	-1	 8785[0] commit[0] af3b679df162d15e2a0a108eddd8dadfd7810238/af3b679df162d15e2a0a108edd8dadfd7810238[0] resin/php[0] session[0] refactor[0] and[0] fixes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9030 commit 9c64cbdfc3dd59a5a4b810543a671891bba8529d quercus class refactor 	9030 commit 9c64cbdfc3dd59a5a4b810543a671891bba8529d quercus class refactor	1	-1	 9030[0] commit[0] 9c64cbdfc3dd59a5a4b810543a671891bba8529d[0] quercus[0] class[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9067 commit ceafb5e72e3280202198a592080fa0eb6f8a6a46 refactor quercus lib packaging and naming 	9067 commit ceafb5e72e3280202198a592080fa0eb6f8a6a46 refactor quercus lib packaging and naming	1	-1	 9067[0] commit[0] ceafb5e72e3280202198a592080fa0eb6f8a6a46[0] refactor[0] quercus[0] lib[0] packaging[0] and[0] naming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9149 commit 79b13f05b7f5bbe302ff6162ba2a979038a37586 stringvalue refactoring 	9149 commit 79b13f05b7f5bbe302ff6162ba2a979038a37586 stringvalue refactoring	1	-1	 9149[0] commit[0] 79b13f05b7f5bbe302ff6162ba2a979038a37586[0] stringvalue[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
